,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes,time_difference,block,condition_number,trial_number,condition_n,trial_n,signal_theory
1995,56.003,391.995436,1.0,0,0.0,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,1,1,1,-56.003,experiment,1716,156,2,16,miss
1997,58.009,493.8833013,1.0,0,0.0,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,0,0,1,-58.009,experiment,1718,158,2,16,corr
1999,60.001,587.3295358,1.0,0,0.0,stim_maj_4,sub21,melody,2024-04-09,17-05-14,1,0,0,1,-60.001,experiment,1720,160,2,16,corr
2038,19.009,293.6647679,1.0,0,0.0,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,0,0,1,-19.009,experiment,1759,35,2,17,corr
2043,24.508,391.995436,1.0,0,0.0,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,1,0,1,-24.508,experiment,1764,40,2,17,corr
2054,31.008,261.6255653,1.0,1,32.033,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,0,1,1,1.0250000000000021,experiment,1775,51,2,17,hit
2061,35.006,246.9416506,-17.5,1,35.783,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,0,1,1,0.777000000000001,experiment,1782,58,2,17,hit
2070,40.002,261.6255653,1.0,0,0.0,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,1,0,1,-40.002,experiment,1791,67,2,17,corr
2075,42.014,523.2511306,17.5,1,42.791,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,0,1,1,0.7769999999999939,experiment,1796,72,2,17,hit
2081,44.002,311.1269837,1.0,0,0.0,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,0,1,1,-44.002,experiment,1802,78,2,17,miss
2085,46.011,391.995436,-17.5,1,46.773,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,0,1,1,0.7620000000000005,experiment,1806,82,2,17,hit
2089,48.0,391.995436,1.0,0,0.0,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,1,1,1,-48.0,experiment,1810,86,2,17,miss
2105,56.011,261.6255653,1.0,0,0.0,stim_min_1,sub21,melody,2024-04-09,17-06-26,1,1,0,1,-56.011,experiment,1826,102,2,17,corr
2145,8.501,391.995436,17.5,0,0.0,stim_maj_2,sub21,main,2024-04-09,17-09-06,1,1,1,1,-8.501,experiment,17,17,3,18,miss
2184,24.009,261.6255653,-17.5,1,24.695,stim_maj_2,sub21,main,2024-04-09,17-09-06,1,1,1,1,0.6859999999999999,experiment,56,56,3,18,hit
2189,29.001,493.8833013,1.0,1,30.262,stim_maj_2,sub21,main,2024-04-09,17-09-06,1,0,1,1,1.2609999999999992,experiment,61,61,3,18,hit
2191,32.008,523.2511306,1.0,0,0.0,stim_maj_2,sub21,main,2024-04-09,17-09-06,1,1,0,1,-32.008,experiment,63,63,3,18,corr
2203,40.013,391.995436,1.0,0,0.0,stim_maj_2,sub21,main,2024-04-09,17-09-06,1,1,0,1,-40.013,experiment,75,75,3,18,corr
