,stimulus,time,corr,fa,hit,miss,hit_rate,false_rate,z_hit_rate,z_false_rate,d_prime,precision,recall,ff1
16,stim_maj_3,32.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7666906913212819,2.0454696515768473,-1.2787789602555655,0.5,1.0,0.6666666666666666
17,stim_maj_3,41.0,0.0,0.0,2.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
18,stim_maj_3,48.0,1.0,0.0,3.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
19,stim_maj_3,57.0,1.0,0.0,3.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
20,stim_maj_4,8.0,0.0,1.0,3.0,1.0,0.75,1.0,0.11135396420163163,2.0454696515768473,-1.9341156873752157,0.75,0.75,0.75
21,stim_maj_4,16.0,1.0,0.0,3.0,1.0,0.75,0.0,0.11135396420163163,-0.6204139737895339,0.7317679379911655,1.0,0.75,0.8571428571428572
22,stim_maj_4,24.0,2.0,0.0,1.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
23,stim_maj_4,32.0,1.0,0.0,3.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
24,stim_maj_4,40.0,1.0,0.0,3.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
25,stim_maj_4,48.0,1.0,1.0,0.0,0.0,0.0,0.5,-1.854656217157319,0.7125278388936566,-2.5671840560509755,0.0,,
26,stim_maj_4,56.0,1.0,1.0,0.0,0.0,0.0,0.5,-1.854656217157319,0.7125278388936566,-2.5671840560509755,0.0,,
27,stim_maj_5,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
28,stim_maj_5,16.0,1.0,1.0,1.0,0.0,1.0,0.5,0.7666906913212819,0.7125278388936566,0.05416285242762531,0.5,1.0,0.6666666666666666
29,stim_maj_5,24.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.854656217157319,-0.6204139737895339,-1.234242243367785,,0.0,
30,stim_maj_5,32.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
31,stim_maj_5,40.0,3.0,1.0,1.0,0.0,1.0,0.25,0.7666906913212819,0.04605693255206138,0.7206337587692205,0.5,1.0,0.6666666666666666
32,stim_maj_5,48.0,0.0,0.0,1.0,2.0,0.3333333333333333,0.0,-0.9808739143311189,-0.6204139737895339,-0.36045994054158503,1.0,0.3333333333333333,0.5
